# BOSCH-DARAB extract file created 08.08.2020 14:22:16
#
# Data from source file "C:\Users\nic\Michigan State University\RSO-MSU Formula Racing Team - General\SR22 - Car XX\Systems\Simulation\results\2019_MIS_endurance_constant_aero_coeffs.bmsbin"
# where 0.000 <= xtime <= 120.129
# 
xtime    [   s]	enginespeed[revo]
          7.170	      13356.920
          7.180	      13358.916
          7.190	      13360.860
          7.200	      13362.750
          7.210	      13364.570
          7.220	      13366.303
          7.230	      13367.910
          7.240	      13369.423
          7.250	      13370.833
          7.260	      13298.441
          7.270	      13075.220
          7.280	      12951.090
          7.290	      12916.407
          7.300	      12797.250
          7.310	      12773.767
          7.320	      12659.500
          7.330	      12603.932
          7.340	      12484.487
          7.350	      12438.833
          7.360	      12343.567
          7.370	      12259.616
          7.380	      12223.939
          7.390	      12086.349
          7.400	      12072.109
          7.410	      11969.911
          7.420	      11909.847
          7.430	      11788.269
          7.440	      11750.768
          7.450	      11682.104
          7.460	      11580.986
          7.470	      11540.300
          7.480	      11438.620
          7.490	      11390.347
          7.500	      11277.029
          7.510	      11246.713
          7.520	      11158.037
          7.530	      11087.230
          7.540	      11018.192
          7.550	      10932.576
          7.560	      10872.140
          7.570	      10775.367
          7.580	      10745.377
          7.590	      10652.969
          7.600	      10586.345
          7.610	      10543.553
          7.620	      10457.901
          7.630	      10396.570
          7.640	      10318.296
          7.650	      10261.539
          7.660	      10205.877
          7.670	      10137.483
          7.680	      10071.390
          7.690	      10000.232
          7.700	       9944.252
          7.710	       9855.148
          7.720	       9823.539
          7.730	      10122.917
          7.740	      11154.540
          7.750	      11066.290
          7.760	      10977.916
          7.770	      10914.589
          7.780	      10800.027
          7.790	      10768.664
          7.800	      10614.800
          7.810	      10607.378
          7.820	      10457.303
          7.830	      10458.951
          7.840	      10385.859
          7.850	      10302.193
          7.860	      10242.999
          7.870	      10123.379
          7.880	      10059.743
          7.890	      10012.711
          7.900	       9925.297
          7.910	       9826.208
          7.920	       9692.097
          7.930	       9694.685
          7.940	       9712.633
          7.950	      10366.111
          7.960	      11195.818
          7.970	      11346.501
          7.980	      11324.012
          7.990	      11347.461
          8.000	      11276.613
          8.010	      11204.147
          8.020	      11129.808
          8.030	      11053.279
          8.040	      10974.362
          8.050	      10892.591
          8.060	      10807.854
          8.070	      10720.679
          8.080	      10631.762
          8.090	      10548.035
          8.100	      10477.248
          8.110	      10423.688
          8.120	      10384.383
          8.130	      10351.701
          8.140	      10319.051
          8.150	      10284.127
          8.160	      10246.611
          8.170	      10202.967
          8.180	      10039.285
          8.190	       9994.706
          8.200	       9986.646
          8.210	       9915.328
          8.220	       9794.638
          8.230	       9790.526
          8.240	       9758.307
          8.250	       9714.941
          8.260	       9650.015
          8.270	       9579.069
          8.280	       9521.460
          8.290	       9459.662
          8.300	       9379.162
          8.310	      10990.652
          8.320	      12658.045
          8.330	      12609.792
          8.340	      12481.925
          8.350	      12371.400
          8.360	      12278.528
          8.370	      12199.732
          8.380	      12126.083
          8.390	      11986.639
          8.400	      11852.089
          8.410	      11744.211
          8.420	      11645.420
          8.430	      11561.237
          8.440	      11481.772
          8.450	      11397.983
          8.460	      11316.913
          8.470	      11218.199
          8.480	      11096.078
          8.490	      10983.390
          8.500	      10855.452
          8.510	      10723.172
          8.520	      10724.510
          8.530	      10679.993
          8.540	      10578.995
          8.550	      10444.526
          8.560	      10382.723
          8.570	      10416.356
          8.580	      10349.801
          8.590	      10263.971
          8.600	      10164.360
          8.610	      10142.340
          8.620	      10140.859
          8.630	      10079.142
          8.640	      10015.038
          8.650	       9948.436
          8.660	       9875.516
          8.670	       9819.227
          8.680	       9821.738
          8.690	       9796.242
          8.700	       9749.828
          8.710	       9702.580
          8.720	       9655.115
          8.730	       9607.194
          8.740	       9559.453
          8.750	       9511.880
          8.760	       9465.375
          8.770	       9419.340
          8.780	       9375.308
          8.790	       9332.092
          8.800	       9290.389
          8.810	       9378.424
          8.820	       9556.817
          8.830	       9572.528
          8.840	       9552.256
          8.850	       9518.531
          8.860	       9503.979
          8.870	       9537.429
          8.880	       9565.509
          8.890	       9588.781
          8.900	       9574.207
          8.910	       9547.846
          8.920	       9592.016
          8.930	       9629.330
          8.940	       9644.787
          8.950	       9642.118
          8.960	       9620.033
          8.970	       9652.737
          8.980	       9706.012
          8.990	       9764.922
          9.000	       9807.487
          9.010	       9797.994
          9.020	       9817.584
          9.030	       9864.772
          9.040	       9953.281
          9.050	      10044.138
          9.060	      10074.691
          9.070	      10101.868
          9.080	      10128.250
          9.090	      10191.837
          9.100	      10270.837
          9.110	      10339.725
          9.120	      10403.999
          9.130	      10461.447
          9.140	      10515.577
          9.150	      10568.481
          9.160	      10621.071
          9.170	      10674.392
          9.180	      10728.382
          9.190	      10784.353
          9.200	      10841.301
          9.210	      10899.668
          9.220	      10959.712
          9.230	      11020.629
          9.240	      11082.809
          9.250	      10839.338
          9.260	      10565.916
          9.270	      10487.668
          9.280	      10331.191
          9.290	      10174.936
          9.300	      10178.240
          9.310	      10089.918
          9.320	       9938.499
          9.330	       9944.716
          9.340	       9918.374
          9.350	       9805.720
          9.360	       9766.997
          9.370	       9752.802
          9.380	       9676.725
          9.390	       9589.200
          9.400	       9486.264
          9.410	       9459.367
          9.420	       9469.408
          9.430	       9409.851
          9.440	       9345.702
          9.450	       9276.303
          9.460	       9197.738
          9.470	       9109.140
          9.480	       9101.898
          9.490	       9124.542
          9.500	       9086.212
          9.510	       9039.454
          9.520	       8991.549
          9.530	       8943.362
          9.540	       8894.573
          9.550	       8845.806
          9.560	       8797.060
          9.570	       8749.482
          9.580	       8702.542
          9.590	       8658.856
          9.600	       8616.072
          9.610	       8575.708
          9.620	       8549.773
          9.630	       8699.756
          9.640	       8846.160
          9.650	       8837.756
          9.660	       8823.261
          9.670	       8784.299
          9.680	       8757.769
          9.690	       8766.238
          9.700	       8784.316
          9.710	       8820.457
          9.720	       8829.859
          9.730	       8804.329
          9.740	       8812.222
          9.750	       8850.705
          9.760	       8872.597
          9.770	       8884.055
          9.780	       8878.009
          9.790	       8865.106
          9.800	       8909.934
          9.810	       8968.545
          9.820	       8980.341
          9.830	       8988.083
          9.840	       8995.690
          9.850	       9014.939
          9.860	       9093.577
          9.870	       9157.397
          9.880	       9186.815
          9.890	       9210.999
          9.900	       9228.812
          9.910	       9291.708
          9.920	       9382.796
          9.930	       9477.722
          9.940	       9572.160
          9.950	       9646.641
          9.960	       9717.193
          9.970	       9779.235
          9.980	       9839.257
          9.990	       9896.836
         10.000	       9953.485
         10.010	      10009.858
         10.020	      10067.341
         10.030	      10125.552
         10.040	      10185.151
         10.050	      10246.177
         10.060	      10308.123
         10.070	      10372.015
         10.080	      10436.848
         10.090	      10503.006
         10.100	      10570.563
         10.110	      10638.890
         10.120	      10708.902
         10.130	      10581.019
         10.140	      10321.786
         10.150	      10215.862
         10.160	      10098.497
         10.170	       9966.383
         10.180	       9931.133
         10.190	       9898.381
         10.200	       9795.532
         10.210	       9736.898
         10.220	       9714.383
         10.230	       9645.527
         10.240	       9567.054
         10.250	       9474.511
         10.260	       9423.452
         10.270	       9416.585
         10.280	       9368.920
         10.290	       9308.135
         10.300	       9242.175
         10.310	       9173.372
         10.320	       9096.146
         10.330	       9058.675
         10.340	       9065.436
         10.350	       9036.837
         10.360	       8991.343
         10.370	       8944.946
         10.380	       8898.355
         10.390	       8851.115
         10.400	       8803.897
         10.410	       8756.775
         10.420	       8710.087
         10.430	       8664.268
         10.440	       8619.568
         10.450	       8576.204
         10.460	       8534.170
         10.470	       8493.180
         10.480	       8584.262
         10.490	       8748.223
         10.500	       8800.749
         10.510	       8809.140
         10.520	       8811.840
         10.530	       8812.976
         10.540	       8815.050
         10.550	       8817.337
         10.560	       8822.927
         10.570	       8829.004
         10.580	       8837.021
         10.590	       8845.285
         10.600	       8854.800
         10.610	       8864.945
         10.620	       8878.359
         10.630	       8892.864
         10.640	       8911.022
         10.650	       8929.544
         10.660	       8948.911
         10.670	       8970.417
         10.680	       8995.251
         10.690	       9021.453
         10.700	       9049.082
         10.710	       9079.030
         10.720	       9110.541
         10.730	       9146.546
         10.740	       9184.342
         10.750	       9224.502
         10.760	       9265.343
         10.770	       9309.886
         10.780	       9355.887
         10.790	       9408.710
         10.800	       9466.796
         10.810	       9536.177
         10.820	       9610.120
         10.830	       9688.468
         10.840	       9757.754
         10.850	       9823.271
         10.860	       9882.662
         10.870	       9940.742
         10.880	       9996.087
         10.890	      10051.162
         10.900	      10105.959
         10.910	      10161.401
         10.920	      10217.189
         10.930	      10274.308
         10.940	      10332.319
         10.950	      10391.320
         10.960	      10451.986
         10.970	      10513.277
         10.980	      10575.631
         10.990	      10638.998
         11.000	      10703.070
         11.010	      10768.093
         11.020	      10833.759
         11.030	      10900.068
         11.040	      10967.338
         11.050	      11035.122
         11.060	      11103.550
         11.070	      11173.340
         11.080	      11243.867
         11.090	      11315.345
         11.100	      11388.302
         11.110	      11462.131
         11.120	      11537.068
         11.130	      11613.387
         11.140	      11492.662
         11.150	      11100.471
         11.160	      10933.582
         11.170	      10891.410
         11.180	      10953.463
         11.190	      10894.479
         11.200	      10823.049
         11.210	      10751.710
         11.220	      10720.649
         11.230	      10695.887
         11.240	      10673.591
         11.250	      10627.701
         11.260	      10579.691
         11.270	      10531.784
         11.280	      10484.680
         11.290	      10438.173
         11.300	      10392.689
         11.310	      10364.780
         11.320	      10388.062
         11.330	      10633.173
         11.340	      10737.710
         11.350	      10742.370
         11.360	      10742.040
         11.370	      10742.900
         11.380	      10745.977
         11.390	      10749.767
         11.400	      10754.660
         11.410	      10762.440
         11.420	      10771.230
         11.430	      10780.850
         11.440	      10793.983
         11.450	      10807.716
         11.460	      10822.030
         11.470	      10840.773
         11.480	      10862.016
         11.490	      10887.269
         11.500	      10918.770
         11.510	      10954.274
         11.520	      10998.041
         11.530	      11046.462
         11.540	      11098.294
         11.550	      11155.877
         11.560	      11218.383
         11.570	      11284.131
         11.580	      11344.599
         11.590	      11400.040
         11.600	      11450.483
         11.610	      11496.090
         11.620	      11539.637
         11.630	      11581.404
         11.640	      11621.971
         11.650	      11662.239
         11.660	      11702.464
         11.670	      11743.499
         11.680	      11785.409
         11.690	      11828.130
         11.700	      11872.139
         11.710	      11917.230
         11.720	      11963.187
         11.730	      12010.121
         11.740	      12057.905
         11.750	      12106.171
         11.760	      12154.892
         11.770	      12204.166
         11.780	      12253.848
         11.790	      12303.829
         11.800	      12354.056
         11.810	      12404.560
         11.820	      12455.200
         11.830	      12505.944
         11.840	      12556.775
         11.850	      12607.662
         11.860	      12658.559
         11.870	      12709.454
         11.880	      12760.328
         11.890	      12811.128
         11.900	      12861.839
         11.910	      12912.459
         11.920	      12962.966
         11.930	      13013.334
         11.940	      13063.531
         11.950	      13113.578
         11.960	      13163.460
         11.970	      13212.591
